關鍵字,回應
千禧山莊,"千禧山莊在花東海岸北回歸線標誌南側，是一座開闊簡潔的歐式建築。\n
莊主曾秋吉夫婦早年從「黑手」行業白手起家，偶然的機緣裡，當他們來到花東海岸，直覺ㄧ定是上天的祝福，於是在退休後便來此，自己監工興建並將山莊分享 給行過花東海岸的旅人。從千禧年開始，許多旅客因為愛上這裡的自然美景而多次造訪。這裡前擁太平洋，碧海藍天視野遼闊，岸邊椰影婆娑過馬路就可以親近大海到海邊散步，撿石頭，看海浪。 \n
早上海面壯觀的日出和晚上美麗的月出永遠是令人著迷的。山莊後方的臥佛山，仙女山山勢奇貌，如果正逢山嵐飄邈，常可看見霧氣隨山勢緩緩降下，宛如雲山瀑布則又是另一番動人的景緻。濤 聲鳥音，花香樹影，當然還少不了最重要的人情味。山莊秉持古道 ，熱誠招待來客，整潔溫馨的客房 ，有陽光的味道的被褥，務求讓八方 來客有回家的感覺。就是因為這份美好舒適所以中外友人常有感念，有的題字相贈有的網站留言，有的在牆上寫字滿滿表達對千禧山莊的祝福和肯定。"
海公主民宿,"在這裡，可以享受清晨夕陽慢慢升起白天，海浪一波波白浪花向海岸線向前行，背倚山脈隱約可以看得出樹草迎風搖曳，海風，山風，醋碰肌膚是如此的舒服，海的鹹味，山間的芬多精，夜晚的寧靜，則是欣賞著辰星夜景，不管聽覺，觸覺，嗅覺，視覺，都刺激每個器官。把碧海藍天，山明水秀，環境清幽，妝點你的旅程回憶，唯有親身體驗，海公主與你共享一切。春.夏天-是東海岸美景最亮眼的時刻.『迷人的景觀.城市看不到』『浪漫的海浪聲.城市裡享受不到』在這裏，你能擺脫一切的壓力及疲倦，在這兒美美的東海岸.不只可以體驗一早起來蔚藍的海岸及海聲，背後的海岸山脈不時還會有保育類動物的啼叫聲，極盡脫俗的世外桃源～在夏天裡，這裡也可以舉頭看見滿滿的星星～\n
『 海公主民宿誠摯歡迎包棟.也歡迎入住， 本店提供早點.（由老闆娘推薦介紹給大家到附近最棒的風味餐點）"
聖地牙哥山海景日出民宿,"歡迎來到花蓮石梯坪花蓮民宿「聖地牙哥海景，山景，日出景觀民宿」。\n
本花蓮民宿位於石梯坪國家風景區內(東海岸最漂亮的太平洋海域)\n
建於風景區內最佳的地理位置，是全花蓮看海景，山景，日出最美的地方。"
緩慢‧石梯坪,"台11線花東海岸公路上，一系列清水混凝土，粗糙石塊般表面的建築，皆由新銳建築師─陳冠華打造。\n
石梯灣118，為其中最緊臨太平洋的一棟狹長型民宿，佇立在港口部落的滄海桑田，遺世靜定，外觀就像未完成的水泥石屋，毫無違和地融入山海地貌之間。\n
設計概念始於「簡單生活」，傳達少即是多，空即是滿的哲學。\n
桀傲不馴的橫向線條，粗獷原始的模板牆面，豪邁景色的大塊露出。\n
風雨歲月洗鍊出那深沉的灰，默默以生命實踐，它所相信的意義。"
尋路 花蓮石梯灣118民宿,"台11線花東海岸公路上，一系列清水混凝土，粗糙石塊般表面的建築，皆由新銳建築師─陳冠華打造。\n
石梯灣118，為其中最緊臨太平洋的一棟狹長型民宿，佇立在港口部落的滄海桑田，遺世靜定，外觀就像未完成的水泥石屋，毫無違和地融入山海地貌之間。\n
設計概念始於「簡單生活」，傳達少即是多，空即是滿的哲學。\n
桀傲不馴的橫向線條，粗獷原始的模板牆面，豪邁景色的大塊露出。\n
風雨歲月洗鍊出那深沉的灰，默默以生命實踐，它所相信的意義。"
藍色珊瑚礁 民宿,"花蓮縣靠海最南端的豐濱鄉，與台東縣長濱鄉相連，雙濱生活坐擁蔚藍海岸與蓊鬱山野，加上原民部落特色，成為樂齡族最享受的深度慢活鄉鎮。\n
緩慢石梯坪，位於石梯坪遊憩區內，悠閒散步即可欣賞世界級地質景觀，包含單面山，海蝕平臺，海蝕溝，壺穴等。\n
本館所有房型直面太平洋，躺臥柔軟被舖，就能目睹日出月昇的獨特景致。 別館「海桐小屋」，位於台11線旁平房小屋，附溫馨客廳，簡易廚房設備，適合家族親友包棟同遊。\n
緩慢石梯坪，在緩慢石梯坪，從無菜單晚餐「山海慢食」，就能來場舌尖上的部落巡禮。\n
主廚依據地方風土，進行食物設計，隨著管家說菜，邊聽故事邊用餐，帶您進入五感的美食饗宴。 放慢速度，打開感官，好食好眠，預約屬於您的緩慢生活。"
石梯33號民宿,"簡單在慵懶的早晨中醒來，呼吸到的是海水的鹹味與山林植物的氣息\n
喝杯咖啡看份報紙，或許望著大海發呆一下午\n
寬闊民宿背靠繚繞的海岸山脈，隔著一條馬路是太平洋，近六千坪的土地上種植著蒲葵樹，南洋杉，聳立著一棟簡約的鄉村建築。\n
慢活第一次到來或是曾經造訪，每一次您都可以發現在您心裡認為最美的那一幕，「時代雜誌」譽為亞洲最被低估的太平洋渡假地。"
天地海民宿,"七年多前，兩位熱愛旅行的音樂家，在台灣東海岸的中點找到一塊荒廢許久的地，就在這塊易主多人毫不起眼的荒地，築起退隱山林的夢想。\n
不只熱愛音樂，他們也深愛建築設計，博覽相關書籍與建築設計的節目影片，花了三年的時間跟優秀的趙建築師溝通，兩年多的時間與很有才華的李設計師研究，從遼闊的太平洋尋找蓋房子的靈感。\n
這個房子很有趣，將一般方正的房子，橫拉開來變成一道「牆」，就變成現在這個七個方塊「DO-RE-MI-FA-SOL-LA-SI」七聲音階階梯狀的長屋。空間設計採主客分離，主客互有私密空間，又可以在正中間的大廳交集聯誼。每個房間都可以看海，都可以保有極不錯的私密領域，都有能耐強颱的五加五膠合強化玻璃隔音氣密窗，都可以敞開門窗與大海與海岸山脈直接接觸，建築師以堅固耐震的結構加強建築物本體，加上堅固高貴的大門，讓您安心放心享受東海岸的海景，星空，海風與山風。\n
我們離海平面二十公尺，身手矯健的人 三十秒就可以走到海邊摸到海浪，與大海零距離。我們面對世界上最浩瀚的太平洋，向左向右各兩百公里的超大海岸美景，常常可以欣賞毫無光害的滿天星斗，屢屢可以欣賞美麗且毫無遮掩的特大圓月，白天的海風與夜晚的山風是這裡最有趣的大自然對話，精彩的動物生態，豐富的海岸植物景觀，充滿古典音樂氣息的氛圍……。\n
三十幾年前，年紀輕狂的年輕人騎機車環島到這裡爆胎，在舊有狹小的碎石路上，牽了五十公里的路，才找到機車行修理，這個難以磨滅的印象讓他更深愛這裡，只是沒想到竟會選擇在這裡終老！熱愛音樂創作的男主人，曾經在這裡找到極多的音樂靈感，想必天.地.海.之間必定隱藏著極大極多的珍寶，等待有能力有眼光的人去發覺！精通十八般武藝，文武全才的女主人是「天地海」的支柱，彈了一手好鋼琴，教了30年鋼琴，學生獲獎無數，得過第十三屆金曲獎，很會煮菜，也會油漆…！男主人幾年前，在世新大學擔任駐校藝術家期間，曾經以「有夢想就有力量」為主題開課，「天地海」民宿應該可以當作這個思想主題的實踐！充滿艱難！充滿夢想！這不是一間普通的民宿，這裡有舒適的客房，安全衛生的環境，健康豐富的餐飲，有趣的動植物生態，廣闊的空間，文學，哲學與藝術都在這裡交集！\n"
黑熊背包客棧,入住完美住宿是開展旅程的必備要素。快來享受住宿提供的所有客房免費Wi-Fi吧！ 住宿位於花蓮縣花蓮市的絕佳位置，讓你輕鬆探索熱門景點和餐飲選擇。 離開前，別忘了到訪著名的Taroko Gorge。 作為額外福利，住宿還附設餐廳，方便滿足你的需求。
洄瀾窩青年旅舍 ,"洄瀾窩不僅是一個住宿空間，更是集結旅人的交流空間。\n
旅舍主人運用旅行與生活中熱愛自然的一種態度，\n
從公共交誼空間至房間設計概念皆採用環保與復古工業風，\n
打造出「清新，分享，環境友善」的窩。"
LAZY HOUSE_廢在這背包客棧,花蓮廢在這X背包客棧（Lazy House）位於花蓮火車站後站出口，為民宿主人自行改裝的青年旅館。將交誼廳及房間做了區隔，將一樓的公共空間留給來訪旅客做休息及旅行途中的交流園地。期待每個來訪旅客都可以感受到旅行的愉快與成長。
花蓮青年旅館．北吉光輕旅,"舒適且優雅\n
舒適就是對一個居宿空間最完整的讚許， 真實且貼切，因此我們將舒適作為創造的 要旨，或者在多加上了一些優雅，這就成 為了我們要給旅人的感受。\n
自由而熱情\n
無論如何的創造獨立且宜人的空間與角落 ，仍難以抑制旅人相遇所併發的無限熱情 ，也許這就是旅行自由所揮灑出的美麗色彩吧!\n
細膩也貼心\n
如果連每一處細節都能從旅人的需求與期 待來思考，那麼這些細膩就是我們要給您 的完整貼心!"
Cozy House 小羊 房花蓮背包客棧,小羊房旅行客棧是為了喜愛旅遊，不喜歡受到拘束，卻又喜歡與旅人互動的您，所思考設定出的旅宿空間，我們將家庭旅行對幸福感的期待與背包客希望的便利與自由度，調和出最大的包容性，我們相信這裡會是一人旅行到家族旅宿都愛的選擇，清朗，明亮，潔淨，溫暖，就會是您在這裡遇見的美麗彩虹喔!
途中花蓮青年旅舍,"花蓮市，距離松園别馆 3.8 公里，有空調客房和露台。這間住宿距離太魯閣國家公園約 36 公里，距離花蓮天惠堂約 1.6 公里，距離花蓮慈惠堂約 2.4 公里。這間住宿全面禁菸，距離鲤鱼潭 17 公里。\n
每間客房都有市景戶外休息區。這間住宿的客房設有共用衛浴，且提供淋浴設施和吹風機，並可使用 WiFi（免費）。部分客房有陽台。客房均有寢具。\n
該地區的熱門活動為騎自行車。提供腳踏車租借服務。附近的人氣景點包括慈濟靜思堂，花蓮火車站和花蓮縣立體育場。最近的機場是花蓮機場，距離這間住宿 3 公里。"
花蓮阿羅國際青年旅舍,"花蓮阿羅青年旅舍位在花蓮市，距離松園別館有 2.3 公里。全館提供免費 WiFi。\n
部分客房享有山景或市景。為提供舒適的住宿體驗，房內亦備有拖鞋及免費盥洗用品。亦配有可收看有線頻道的平面電視。\n
花蓮阿羅青年旅舍距離慈濟文化園區有 600 公尺，距離花蓮縣立體育場有 1.5 公里。"
