關鍵字,回應
迪卡儂 雲林店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
迪卡儂 嘉義店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
全球技術潛水（嘉義店）,"介紹：\n
全球技術潛水主要販售多個為人熟悉的潛水品牌，並專門於水肺潛水。"
UFO悠浮潛水,"介紹：\n
我們提供了專業的潛水設備、潛水考證、船潛旅遊以及潛旅。\n
詳情課程及裝備資訊歡迎私訊小盒子。"
迪卡儂 台南仁德店,"介紹：\n
你也熱愛運動嗎？讓大家同懷運動願望，一起享受做運動帶來的樂趣，便是創立迪卡儂簡單的理由，但卻一直堅持至今。\n
迪卡儂是從法國里爾附近的一個小村莊發跡的，創辦人米歇爾·雷勒克（Michel Leclercq）希望所有熱愛運動的人，不論是從大眾到小眾運動、從初階到專業的產品，讓所有熱愛運動的人們都能輕易享受到運動帶來的樂趣，而以法文的「十項全能」之名，取名為「Decathlon」。也因為和每一位運動者共享運動快樂，是迪卡儂一直秉持的宗旨，價格不應該成為限制我們運動熱情的原因，因此迪卡儂一直以來秉持著重視體驗更勝賣商品！"
裝備租客,"介紹：\n
領先市場，提供新型態消費方式，「購買前免費體驗」，您將從原本的購買者，直接升級為使用者，讓裝備的合適性在體驗中獲取答案。\n
將有限的資源，最大化的分享使用，避免地球能源過度消耗。\n
-裝備租客使命-"
水盈寶潛水器材企業行,"介紹：\n
經營理念與營業項目：公司專門Neoprene氯平橡膠貼合布產品加工廠 開發舒適，耐用，專業的各式潛水衣，潛水鞋，潛水手套安全性高的浮水衣， 3星專業潛水教練教學；客製潛水衣製造；各牌潛水器材維修；各牌潛水器材進出口產品項目:潛水面鏡/潛水呼吸管/潛水蛙鞋/潛水鞋/潛水器材/潛水帽/潛水手套/防寒背心/防寒夾克/長袖長褲連身/上衣+長褲/背心連長褲+上衣/ /短袖短褲連身/背心連長褲+上衣連短褲/兒童潛水衣/溯溪用防寒衣/游泳衣/救生浮水衣/救生圈/救生繩袋。"
銀色快手台南潛水中心,"介紹：\n
我們有販售潛水裝備、潛水旅遊、潛水攝影、民宿，近後壁湖，讓專業潛水教練帶您悠游海底世界。無論是想體驗潛水或取得國際潛水執照，我們會安排潛水攝影教練，為您拍攝海底潛水的影像。"
水領域潛水中心,"介紹：\n
我們都是喜歡水的孩子，所以在台南的某個角落開了一間潛水店，水領域。\n
提供潛水裝備、潛水旅遊、潛水攝影等服務。"
高手潛水,"介紹：\n
潛水教學.裝備.維修.旅遊.攝影.拍照.Watershot led攝影燈.台灣總代理。"
三木子潛水選品,"介紹：\n
一家位於台南市的潛水裝備選品店，勞闆當初買人生中第一套裝備時候，對裝備不太熟悉，於是聽了店家介紹，入手屬於自己的裝備，但在潛了一陣子，發現有些裝備並不是那麼適合潛水員自有的，於是又忍痛買了第二套，當時想著別讓後來的人跟自己一樣走彎路，於是決定開一家潛水選品店，店內商品皆經過篩選，即便不太懂裝備小白都不擔心買到不合適的裝備。"
泡泡隆潛水(高雄店),"介紹：\n
提供體驗潛水、潛水課程考照、住宿安排、國內外旅遊潛水、調節器維修保養、裝備銷售、維修保養。"
台灣潛水企業有限公司,"介紹：\n
台灣潛水1980年以工程潛水起家，後漸漸轉型為休閒潛水。\n
台灣潛水宗旨為「Bring Ocean Into Your Life」，藉由潛水，讓海洋進入大家的生活。讓更多人愛上大海而成為海人，跟著我們一起保護這片大海。無論是提供專業的潛水相關課程，海洋商品的販售，保育活動的推廣…都希望能真正的將海洋融入你我的生活。親海、知海、愛海，是上天賦予海島國家重要的使命。"
