店家名,地區,地址,緯度,經度,連結
Free Pilot自由領航員潛水中心,台中市,40350台中市西區中興ㄧ巷6號1樓,24.14752,120.6629,
台中意潛自由潛水 freediving,台中市,402台中市南區工學路59巷9號,24.11647,120.66597,
海嬉潛水店 Ocean Fun Diving Shop,台中市,40443台中市北區原子街154號,24.14894,120.677,
一起潛水訓練中心,台中市,404台中市北區崇德路一段55號B2,24.15703,120.68411,
台中潛立方,台中市,407台中市西屯區安和西路69號1樓,24.17627,120.62097,
slowdive 漫潛,台中市,404台中市北區美德街20號,24.15769,120.68435,
新竹潛水蟲 EOT 潛水訓練中心,新竹縣,304新竹縣新豐鄉仁愛街55巷25號,24.87598,120.99113,
Tipsy Freediving 沉醉自潛,新竹縣,302新竹縣竹北市博愛街507號,24.83929,121.01062,
藍灣潛水訓練中心,新竹市,300新竹市東區明湖路400巷2-1號,24.7855,120.96713,
作伙潛水訓練中心,桃園市,33850桃園市蘆竹區五福六路53號,25.07149002,121.2951032,
JBC潛水,桃園市,330桃園市桃園區南華街207號,25.00484159,121.3656497,
巡航艦潛水,桃園市,330桃園市桃園區宏昌六街76號,24.9942515,121.297798,
夢想家潛水,桃園市,334桃園市八德區忠勇三街87號,24.98180405,121.309471,
28度C潛水俱樂部,桃園市,32093桃園市中壢區龍平三街6號,24.93698278,121.2565993,
元氣潛水,桃園市,330桃園市桃園區中平路34之1號,24.99197052,121.2909633,
湛藍(Into The Blue),桃園市,338桃園市蘆竹區忠孝東路17-3號4樓,25.04991345,121.2934328,
亞太訓練中心,桃園市,320桃園市中壢區龍岡路三段572號,24.94131613,121.2379503,
包捷潛水,宜蘭縣,261宜蘭縣頭城鎮濱海路六段70號,24.97010843,121.9240208,
亞太遊艇-宜蘭龜山島,宜蘭縣,261宜蘭縣頭城鎮烏石巷遊艇碼頭,24.87156419,121.8379208,
珊瑚海潛水,宜蘭縣,270宜蘭縣蘇澳鎮,24.58647922,121.8789205,
良友潛水,基隆市,202基隆市中正區中正路598號,25.15705511,121.7669359,
國傑工程企業有限公司,基隆市,202基隆市中正區北寧路362-1號,25.13971217,121.7923281,
利峰國際潛水,基隆市,202基隆市中正區北寧路275巷12號,25.14046974,121.7938945,
潮海致境潛水中心,基隆市,202301基隆市中正區北寧路396巷6號,25.13997441,121.7970879,
揪潛水,基隆市,202基隆市中正區北寧路424號,25.14044061,121.7981179,
東北角潛水客棧,新北市,228新北市貢寮區龍洞街64號,25.11929712,121.9237502,
神豬海底漫遊潛水訓練中心,新北市,221新北市汐止區水源路一段155號1樓,25.06723098,121.6631848,
坤成潛水,新北市,新北市貢寮區龍洞路60-3號,25.11803494,121.9166799,
鬥陣潛水,台北市,115台北市南港區玉成街40號,25.05658804,121.5845202,
亞潮潛水中心,台北市,116台北市文山區興隆路一段235號,25.00098942,121.5656797,
iDiving愛潛水,台北市,111台北市士林區前港街8號,25.09927945,121.5339093,
四分之一潛水訓練中心,新北市,24149新北市三重區河邊北街108號,25.08515231,121.5061375,
飛漩潛水,新北市,247新北市蘆洲區中山二路137巷9號1樓,25.10837306,121.474786,
悠潛潛水,新北市,242新北市新莊區頭前路No. 60-3號,25.05891354,121.4684916,
海玩子潛水訓練中心,新北市,220新北市板橋區光武街136巷8弄6號1樓,25.03776326,121.4652985,
台灣潛水Taipei,新北市,220新北市板橋區縣民大道三段187巷14號,25.032514,121.4922064,
藍星海洋潛水俱樂部,新北市,235新北市中和區南山路27號,25.00422248,121.5028494,
52龍洞/52LDNAUI Diving Center,新北市,228新北市貢寮區龍洞街52號,25.11529482,121.9155849,
