店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),交通建議,連結
迪卡儂 雲林店,,中部地區,雲林縣,640雲林縣斗六市雲林路二段297號,23.70621086,120.5171477,,,,
迪卡儂 嘉義店,,南部地區,嘉義市,600嘉義市西區博愛路二段461號,23.47140394,120.4323684,,,,
全球技術潛水（嘉義店）,,南部地區,嘉義市,600嘉義市西區姜安街9號,23.48774996,120.4238838,,,,
UFO悠浮潛水,,南部地區,嘉義市,600340嘉義市東區彌陀路238巷98弄82號,23.48182621,120.476439,,,,
迪卡儂 台南仁德店,,南部地區,台南市,717台南市仁德區中山路799號,23.00154159,120.2750494,,,,
裝備租客,,南部地區,台南市,708台南市安平區育平七街80巷27號,22.99804404,120.1790377,,,,
水盈寶潛水器材企業行,,南部地區,台南市,709台南市安南區安和路二段300巷26號之1號,23.04617412,120.2417387,,,,
銀色快手台南潛水中心,,南部地區,台南市,710台南市永康區永勝街35號,23.02136377,120.2697362,,,,
水領域潛水中心,,南部地區,台南市,710台南市永康區復興路33巷30號,23.0033517,120.2635564,,,,
高手潛水,,南部地區,台南市,701台南市東區東門路二段384號,22.99238558,120.2275702,,,,
三木子潛水選品,,南部地區,台南市,700台南市中西區忠義路一段40號,22.98708873,120.205847,,,,
泡泡隆潛水(高雄店),,南部地區,高雄市,811高雄市楠梓區清豐路78巷1號,22.75615813,120.3569756,,,,
台灣潛水企業有限公司,,南部地區,高雄市,814高雄市仁武區霞海南一街33號,22.69456589,120.3531076,,,,
Aropec潛水衝浪溯溪游泳三鐵戶外運動(高雄店),,南部地區,高雄市,813高雄市左營區自由二路330號,22.67983665,120.2764832,,,,
Orange Marine Diving Pro Shop,,南部地區,高雄市,831高雄市大寮區九和路8-2號,22.65616313,120.4203919,,,,
羅浮潛水中心,,南部地區,高雄市,830高雄市鳳山區立志街152號,22.62891352,120.3739374,,,,
多樂潛水,,南部地區,高雄市,807高雄市三民區淵源街1號,22.64259074,120.3371573,,,,
蓬萊潛水,,南部地區,高雄市,802高雄市苓雅區,22.63621412,120.3221798,,,,
日大潛水RIDA Diving (全台最大潛水用品專賣店）,,南部地區,高雄市,800高雄市新興區民生一路164號,22.63375796,120.310936,,,,
Scuba YD 專業潛水用品店-旗艦店,,南部地區,高雄市,80049高雄市新興區中山一路57號美麗島捷運站2號出口,22.63660986,120.299263,,,,
放火燒潛水裝備Molchanovs Double K Taiwan,,南部地區,高雄市,801高雄市前金區前金二街101號,22.63280731,120.2893066,,,,
DECATHLON 迪卡儂 高雄亞灣店,,南部地區,高雄市,806高雄市前鎮區時代大道33號,22.60557657,120.3258298,,,,
DECATHLON 迪卡儂 高雄鳳山店,,南部地區,高雄市,830高雄市鳳山區文化路59號,22.63821815,120.3550123,,,,
DECATHLON 迪卡儂 高雄楠梓店,,南部地區,高雄市,811高雄市楠梓區土庫一路60號,22.74238963,120.3499552,,,,
台灣潛水墾丁店,,南部地區,屏東縣,946屏東縣恆春鎮大光路55-60號,21.94440372,120.7365902,,,,
墾丁舒服潛水,,南部地區,屏東縣,946屏東縣恆春鎮大光路79-49號,21.9448596,120.7434265,,,,
DECATHLON 迪卡儂 屏東店,,南部地區,屏東縣,900屏東縣屏東市自由路550號1樓,22.68402926,120.4875214,,,,
日日選品Daily.day,,外島/.離島地區,屏東縣,929屏東縣琉球鄉觀光港路12-9號,22.35061725,120.3836608,,,,
PADI澎湖興仁潛水訓練中心,,外島/.離島地區,澎湖縣,88053澎湖縣馬公市烏崁里128號之25,23.55225502,119.6431404,,,,
澎湖潛水會,,外島/.離島地區,澎湖縣,880澎湖縣馬公市漁隆路7-1號,23.56691819,119.5702178,,,,
