店家名,店家名(英),地區,縣市,地址,緯度,經度,連結,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議
千禧山莊,Millennium Beach House,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋52號,23.4424995,121.4952795,https://www.y2kinn.idv.tw/aboutus.htm,07:00,21:00,15:00,20:00,null,11:00,"開車：
1.由台東市循11號省道(花東海岸公路)北上，經過八仙洞後約5公里處(11號省道70.5公里)，可抵達
2.由花蓮循11號省道南下，經過長虹橋，靜浦，北回歸線約600公尺處(11號省道70.5公里)，可抵達
搭車：
1.可由飛機或火車或台汽客運抵達花蓮火車站或台東火車站
2.由台東火車站前搭往靜浦，花蓮的鼎東客運或花蓮客運海線班車，過了八仙洞後，在千禧山莊前招呼站下車
3.由花蓮火車站前搭往成功，台東的花蓮客運,鼎東客運海線班車，過了北回歸線後在千禧山莊前招呼站下車"
海公主民宿,Sea Princess B&B,東部地區,花蓮縣,977花蓮縣豐濱鄉新社村東興113之1號,23.63060137,121.5298499,http://seaprincess.mmweb.tw/,08:00,21:00,15:00,21:00,null,11:00,"開車：從花蓮市出發行台11線（東海岸）往海洋公園方向，過磯崎海水浴場在南下過新社，至東興45.5公里處，車程50分鐘
客運：公車可搭乘花蓮客運-海線（1140）（1145）公車，至南東興下車，在往南步行約100公尺處"
聖地牙哥山海景日出民宿,null,東部地區,花蓮縣,977花蓮縣豐濱鄉灣120號港口,23.49110621,121.5104162,http://hlsandiego.com/000.html,00:00,23:59,15:00,null,null,11:00,花蓮車站→步行→花蓮轉運站搭乘公車1140靜浦 →石梯坪遊憩區(69 個停靠站)→步行→聖地牙哥山海景日出民宿
緩慢‧石梯坪,Adagio Shitiping,東部地區,花蓮縣,977花蓮縣豐濱鄉灣123號港口,23.49072776,121.510207,https://www.bbnet.com.tw/shihtiping/reserve/?lang=tw&c=index,10:00,20:00,15:00,20:00,null,11:00,"火車：
1.北迴線抵達花蓮車站後轉搭公車
抵達後至前方花蓮轉運站購買往""石梯坪遊憩區""站車票，搭乘「1145花蓮—成功」、「1140花蓮—靜浦」公車，於""石梯坪遊憩區""站(石梯港下一站)下車，由遊憩區入口往海濱方向步行約5分鐘即可抵達緩慢石梯坪本館。(建議可下載APP-iBus_公路客運，可查看公路客運即時動態)
2.南迴線抵達台東車站後轉搭公車
自台東火車站搭乘「8103台東—成功」公車，到達成功總站後，轉乘「1145成功—花蓮火車站」於""石梯坪遊憩區""站下車，由遊憩區入口往海濱方向步行約5分鐘即可抵達緩慢石梯坪本館。
3.抵達花蓮後租車
花蓮車站週邊有多間租車公司(建議選擇信譽良好的租車公司)。經國聯一路左轉中山路直行至中正路(台9線)後右轉，中正路直行2公里至海岸路(台11線)交叉口後左轉，沿台11線直行至約63.5公里處""石梯坪遊憩區""(在左側)左轉進入即可抵達。
開車：
1.北上經國道1、3號
由北部或中部出發北上經國道1、3號可轉接至國道5號南港系統交流道往宜蘭/蘇澳方向，續接省道台9線至花蓮市區(中正路)，至海岸路(台11線)交叉口後左轉，沿台11線直行至約63.5公里處”石梯坪遊憩區”(在左側)左轉進入即可抵達。
貼心提醒：國道5號雪山隧道路段假日易壅塞，可改走台2線濱海公路至頭城交流道上國道5號至蘇澳交流道下，續接省道台9線。
2.南下經國道3號
由中部或南部出發南下可經由國道3號至南州交流道(424K)下，續接省道台1線往楓港方向，至楓港後轉接省道台9線(南迴公路)至台東知本美和國小後轉接台11線(海岸公路)往花蓮方向直行至約63.5公里處""石梯坪遊憩區""(在右側)右轉進入即可抵達。"
尋路 花蓮石梯灣118民宿,null,東部地區,花蓮縣,97792花蓮縣豐濱鄉港口村石梯灣118號,23.48815792,121.510846,https://www.bbnet.com.tw/hualien118/reserve/?lang=tw&c=index,null,null,15:00,20:00,null,11:00,"火車：
1.北迴線抵達花蓮車站後轉搭公車
抵達後至前方花蓮轉運站購買往""石梯坪遊憩區""站車票，搭乘「1145花蓮—成功」、「1140花蓮—靜浦」公車，於""石梯坪遊憩區""站(石梯港下一站)下車，由遊憩區入口往海濱方向步行約5分鐘即可抵達緩慢石梯坪本館。(建議可下載APP-iBus_公路客運，可查看公路客運即時動態)
2.南迴線抵達台東車站後轉搭公車
自台東火車站搭乘「8103台東—成功」公車，到達成功總站後，轉乘「1145成功—花蓮火車站」於""石梯坪遊憩區""站下車，由遊憩區入口往海濱方向步行約5分鐘即可抵達緩慢石梯坪本館。
3.抵達花蓮後租車
花蓮車站週邊有多間租車公司(建議選擇信譽良好的租車公司)。經國聯一路左轉中山路直行至中正路(台9線)後右轉，中正路直行2公里至海岸路(台11線)交叉口後左轉，沿台11線直行至約63.5公里處""石梯坪遊憩區""(在左側)左轉進入即可抵達。
開車：
1.北上經國道1、3號
由北部或中部出發北上經國道1、3號可轉接至國道5號南港系統交流道往宜蘭/蘇澳方向，續接省道台9線至花蓮市區(中正路)，至海岸路(台11線)交叉口後左轉，沿台11線直行至約63.5公里處”石梯坪遊憩區”(在左側)左轉進入即可抵達。
貼心提醒：國道5號雪山隧道路段假日易壅塞，可改走台2線濱海公路至頭城交流道上國道5號至蘇澳交流道下，續接省道台9線。
2.南下經國道3號
由中部或南部出發南下可經由國道3號至南州交流道(424K)下，續接省道台1線往楓港方向，至楓港後轉接省道台9線(南迴公路)至台東知本美和國小後轉接台11線(海岸公路)往花蓮方向直行至約63.5公里處""石梯坪遊憩區""(在右側)右轉進入即可抵達。"
藍色珊瑚礁 民宿,null,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋58號,23.44001285,121.4941159,http://www.bl-hotel.com/,00:00,23:59,15:30,null,null,11:00,"花蓮火車站下車，轉搭「花蓮客運」至靜浦站下車。
台東火車站下車，轉搭「鼎東客運」至靜浦站下車。"
石梯33號民宿,null,東部地區,花蓮縣,977花蓮縣豐濱鄉石梯坪33號,23.48405779,121.5111416,https://nakaw.hlbnb.com.tw/,00:00,23:59,15:00,null,null,11:00,玉里火車站→步行→公車309台灣好行玉長豐濱線預約制→石梯坪→步行→石梯33號民宿
天地海民宿,null,東部地區,花蓮縣,977花蓮縣豐濱鄉永豐12號台11線47.9K,23.61191613,121.5289841,https://oceanskyline.tw/%e9%97%9c%e6%96%bc%e6%88%91%e5%80%91/,10:00,20:00,15:00,null,null,11:00,"大眾交通工具：
搭火車到花蓮火車站，出口往左前方走大概100公尺，就可以看到顯眼的橘色建築物「花蓮客運」總站
自行開車：
北往南…台北 (國道5往南) –> 宜蘭 蘇澳 (台9線往南) –> 花蓮 (台11線往南) –> 天地海民宿 (台11線47.9K)
南往北…高雄 (台1線往南轉台9線) –> 台東 (台11線往北) –> 天地海民宿 (台11線47.9K)"
黑熊背包客棧,Black Bear Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民十二街32-1號,23.99540939,121.6057278,https://www.facebook.com/blackbearhostel/?locale=zh_TW,00:00,23:59,15:00,null,null,11:00,花蓮火車站→市立圖書館公車1139→花蓮轉運站→步行→黑熊背包客棧
洄瀾窩青年旅舍 ,Hualien Wow Hostel,東部地區,花蓮縣,97055花蓮縣花蓮市國聯一路83號,23.99165259,121.6030335,https://www.hualienwow.com/,07:30,23:59,15:00,23:30,null,11:00,花蓮火車站→市立圖書館公車1139→花蓮轉運站→步行→洄瀾窩青年旅舍 Hualien Wow
