店家名,地區,縣市,地址,緯度,經度,連結
千禧山莊,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋52號,23.4424995,121.4952795,
海公主民宿-Sea Princess B&B,東部地區,花蓮縣,977花蓮縣豐濱鄉新社村東興113之1號,23.63060137,121.5298499,
聖地牙哥山海景日出民宿,東部地區,花蓮縣,977花蓮縣豐濱鄉灣120號港口,23.49110621,121.5104162,
緩慢‧石梯坪,東部地區,花蓮縣,977花蓮縣豐濱鄉灣123號港口,23.49072776,121.510207,
尋路 花蓮石梯灣118民宿,東部地區,花蓮縣,97792花蓮縣豐濱鄉港口村石梯灣118號,23.48815792,121.510846,
藍色珊瑚礁 民宿,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋58號,23.44001285,121.4941159,
石梯33號民宿,東部地區,花蓮縣,977花蓮縣豐濱鄉石梯坪33號,23.48405779,121.5111416,
天地海民宿,東部地區,花蓮縣,977花蓮縣豐濱鄉永豐12號台11線47.9K,23.61191613,121.5289841,
黑熊背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市國民十二街32-1號,23.99540939,121.6057278,
洄瀾窩青年旅舍 Hualien Wow Hostel,東部地區,花蓮縣,97055花蓮縣花蓮市國聯一路83號,23.99165259,121.6030335,
LAZY HOUSE_廢在這背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市富安路49號,23.99325986,121.5984247,
花蓮青年旅館．北吉光輕旅,東部地區,花蓮縣,970花蓮縣花蓮市中山路601巷1弄19號,23.9885772,121.5992655,
Cozy House 小羊 房花蓮背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市延平街148巷5號,23.98613762,121.5990068,
途中花蓮青年旅舍,東部地區,花蓮縣,970花蓮縣花蓮市富吉路48號,23.9949444,121.5978308,
花蓮阿羅國際青年旅舍,東部地區,花蓮縣,970花蓮縣花蓮市富吉路58-3號,23.99509654,121.5974422,
山羊青旅民宿 GOAT HOSTEL,東部地區,花蓮縣,970花蓮縣花蓮市富裕十六街60號,23.99642226,121.5953298,
花蓮小旅行迷你公寓背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市國聯一路103號,23.99102317,121.6026214,
Travel Charger Hostel 旅充人文,東部地區,花蓮縣,970花蓮縣花蓮市富國路138號,23.98962801,121.5940523,
崧居文旅-挑高閣樓住宿,東部地區,花蓮縣,970花蓮縣花蓮市國興二街142號,23.9890896,121.6013836,
仲青行旅 花蓮館Light Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民十街11號,23.99440891,121.6038106,
您好生活公寓民宿NinHao Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國興二街91號,23.99019291,121.6026,
鳥窩•花蓮青年旅舍•Hualien Bird's House Hostel•花蓮背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市國民五街5號,23.99057408,121.6025815,
World Inn 窩二樓小客棧,東部地區,花蓮縣,970花蓮縣花蓮市國聯一路125號,23.99056154,121.6020454,
A Good Man's Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯二路150號,23.98810244,121.6011623,
街角二館-角舍背包客棧民宿,東部地區,花蓮縣,970花蓮縣花蓮市中山路743號,23.9916811,121.597722,
KID花蓮背包客棧 • KID Hualien Hostel,東部地區,花蓮縣,97055花蓮縣花蓮市國興二街102號,23.99024887,121.6025302,
Sleeping boot Hostel 背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市進豐街73號,23.98617701,121.6065,
僖豆背包客,東部地區,花蓮縣,970花蓮縣花蓮市商校街192號,23.98716697,121.6007906,
花蓮 小森見晴 Shining Forest Hostel / 背包客棧 / 火車站住宿 / 民宿,東部地區,花蓮縣,970花蓮縣花蓮市國興五街102號,23.98867274,121.6047637,
遐窩青年旅舍JustWalk Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國聯五路160號,23.99309375,121.6050781,
有窩客棧 - You Worth Inn,東部地區,花蓮縣,970花蓮縣花蓮市國興三街82號,23.98868283,121.6028625,
喀嚓緩旅 - 123 Cheers Hostel,東部地區,花蓮縣,970花蓮縣花蓮市國民八街100號,23.99375553,121.6080207,
站前海民宿,東部地區,花蓮縣,970花蓮縣花蓮市國興五街112號,23.98864804,121.6044565,
Arch雅砌美學公寓,東部地區,花蓮縣,970花蓮縣花蓮市國盛一街233號,23.9951004,121.6051599,
悅樂旅店‧花蓮 OLAH Poshtel Hualien,東部地區,花蓮縣,970花蓮縣花蓮市中福路122號,23.97183039,121.6023,
荷雅居石梯坪民宿,東部地區,花蓮縣,977花蓮縣豐濱鄉港口村大港口1-8號,23.47086427,121.501571,
太平洋渡假村,東部地區,花蓮縣,977花蓮縣豐濱鄉小港55號,23.60136292,121.5275734,
M.house旅宿,東部地區,花蓮縣,970花蓮縣花蓮市和平路332-1號,23.97355474,121.6039763,
博愛泊心境民宿,東部地區,花蓮縣,970花蓮縣花蓮市博愛街120號,23.97652987,121.6071399,
View Hostel 慮園 客棧,東部地區,花蓮縣,970花蓮縣花蓮市中華路169號,23.97553706,121.6041943,
船長不在家 背包客棧,東部地區,花蓮縣,970花蓮縣花蓮市國聯三路85號,23.99034634,121.6051343,
The Travel Bug Hostel旅行蟲背包客棧,東部地區,台東縣,959台東縣東河鄉134 號,22.87321082,121.2274177,
東河民宿 狂衝浪店 Donghe surf shop,東部地區,台東縣,959台東縣東河鄉東河村南東河60號,22.9661039,121.3016891,
熱帶低氣壓 Low Pressure Restaurant & Guesthouse,東部地區,台東縣,95942台東縣東河鄉108號,22.96659953,121.3005426,
台東都蘭 晃輕鬆客棧咖啡館 Tranquilo Hostel & Café,東部地區,台東縣,959台東縣東河鄉都蘭路102號,22.87335883,121.2277265,
築頁衝浪背包客棧PageSurfingInn,東部地區,台東縣,959台東縣東河鄉287號,22.96854665,121.3036428,
落花鉎背包民宿 (都蘭),東部地區,台東縣,959台東縣東河鄉420-9號,22.87618463,121.226359,
都蘭朋友家,東部地區,台東縣,台東縣東河鄉959號,22.87470282,121.22977,
美好東河咖啡民宿,東部地區,台東縣,95942台東縣東河鄉東河村南東河139號,22.96824154,121.3024,
途中·都蘭 青年旅舍 青年旅館 / On My Way Dulan Hostel,東部地區,台東縣,959001台東縣東河鄉124號,22.87292631,121.2261846,
螺絲釘民宿Taitung Open Surf Shop & Hostel,東部地區,台東縣,95942台東縣東河鄉北東河97號,22.97264193,121.305063,
小心沙發SUP立槳(LiTtLe HeArt)背包客美食空間,東部地區,台東縣,961台東縣成功鎮美山路55號,23.15095929,121.3973217,
那邊Thatway,東部地區,台東縣,950台東縣台東市松江路一段303巷18弄3號,22.79404861,121.1920243,
海景擁月星宿民宿,東部地區,台東縣,961台東縣成功鎮豐田路25-1號,23.0511244,121.3444099,
